                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2969,                 3.1587,                  1.494,                0.78868,                0.77343,                0.83211,                0.56487,                 1.1076,                  1.181,                  1.385,             0.00013269,             0.00013269,             0.00013269
                      2,                 1.1708,                 1.5112,                 1.3364,                0.88826,                0.82103,                0.89868,                0.62922,                 1.0802,                0.90822,                 1.3755,             0.00026339,             0.00026339,             0.00026339
                      3,                 1.1753,                 1.3084,                 1.3294,                0.85427,                0.83036,                0.90289,                0.61669,                 1.0763,                0.92838,                 1.3707,             0.00039145,             0.00039145,             0.00039145
                      4,                  1.157,                 1.2004,                  1.314,                0.86454,                0.82071,                0.88879,                 0.6243,                 1.0607,                0.89492,                 1.3539,             0.00038812,             0.00038812,             0.00038812
                      5,                  1.145,                 1.1373,                 1.3068,                0.88201,                0.84865,                0.92281,                0.63273,                 1.0984,                0.83557,                 1.3551,             0.00038812,             0.00038812,             0.00038812
                      6,                 1.1304,                 1.0642,                 1.2947,                0.89248,                0.86883,                 0.9342,                0.65294,                 1.0563,                0.75974,                 1.3137,             0.00038416,             0.00038416,             0.00038416
                      7,                 1.1103,                 1.0249,                 1.2862,                0.89351,                0.86915,                0.92806,                0.62001,                 1.1196,                0.76775,                 1.3486,              0.0003802,              0.0003802,              0.0003802
                      8,                 1.0892,                0.95362,                 1.2702,                0.90714,                 0.8858,                  0.936,                0.66971,                 1.0236,                0.68212,                 1.3022,             0.00037624,             0.00037624,             0.00037624
                      9,                 1.0808,                0.93137,                 1.2612,                0.91044,                0.91871,                0.94754,                0.67682,                 1.0244,                0.65588,                 1.2909,             0.00037228,             0.00037228,             0.00037228
                     10,                 1.0618,                0.89039,                 1.2504,                0.89129,                0.90368,                0.94723,                0.67673,                 1.0229,                0.67038,                 1.2902,             0.00036832,             0.00036832,             0.00036832
                     11,                 1.0666,                0.87588,                  1.254,                0.89433,                0.91576,                0.94935,                0.68667,                0.99149,                0.62827,                  1.271,             0.00036436,             0.00036436,             0.00036436
                     12,                 1.0547,                  0.868,                 1.2449,                0.92011,                0.90034,                0.94308,                0.69659,                 0.9663,                0.62113,                 1.2453,              0.0003604,              0.0003604,              0.0003604
                     13,                 1.0523,                 0.8519,                 1.2442,                0.91792,                0.89669,                0.94901,                0.69726,                0.96749,                0.62205,                   1.24,             0.00035644,             0.00035644,             0.00035644
                     14,                 1.0279,                0.81522,                 1.2269,                0.92841,                0.92222,                0.95886,                0.70012,                 1.0116,                 0.5867,                 1.2627,             0.00035248,             0.00035248,             0.00035248
                     15,                 1.0288,                0.79721,                  1.234,                0.92628,                0.92488,                0.95175,                0.67802,                 1.0268,                0.61011,                 1.2696,             0.00034852,             0.00034852,             0.00034852
                     16,                 1.0146,                0.76733,                 1.2158,                0.94317,                0.93403,                0.96247,                0.70897,                0.99058,                0.55021,                 1.2521,             0.00034456,             0.00034456,             0.00034456
                     17,                 1.0077,                0.76464,                  1.216,                0.92579,                0.92593,                0.96168,                0.71222,                0.97058,                0.56044,                 1.2643,              0.0003406,              0.0003406,              0.0003406
                     18,                 1.0186,                0.74168,                 1.2199,                0.92183,                0.91721,                0.95577,                 0.7054,                0.97855,                0.59152,                 1.2459,             0.00033664,             0.00033664,             0.00033664
