                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7568,                 3.2785,                 1.8657,                 0.0008,                0.14883,                0.00066,                0.00021,                 3.1153,                 204.47,                 6.0237,               0.070195,              0.0033117,              0.0033117
                      2,                 1.7265,                 2.9144,                 1.8158,                0.30117,                0.14425,                 0.0303,                0.01108,                  2.173,                 6.6388,                 2.7153,               0.040154,              0.0066045,              0.0066045
                      3,                 1.6064,                 2.6775,                 1.6927,                0.25091,                 0.2223,                0.13015,                0.05398,                 1.9983,                 3.6069,                 2.3389,              0.0099531,              0.0097366,              0.0097366
                      4,                 1.5653,                 2.5579,                 1.6655,                0.23298,                0.24234,                0.14514,                0.08283,                  1.946,                 3.3337,                 2.5474,              0.0094605,              0.0094605,              0.0094605
                      5,                 1.4774,                  2.402,                 1.6019,                 0.3915,                0.41095,                 0.3395,                0.19909,                 1.4028,                 2.6359,                 1.7181,              0.0094605,              0.0094605,              0.0094605
                      6,                 1.4179,                 2.2612,                 1.5605,                0.42095,                0.37165,                0.35122,                0.20028,                 1.4861,                 2.3512,                 1.7762,              0.0090546,              0.0090546,              0.0090546
                      7,                 1.4251,                 2.2183,                 1.5519,                0.30292,                 0.4023,                0.35699,                0.19929,                 1.4432,                 2.2345,                 1.7265,              0.0085502,              0.0085502,              0.0085502
                      8,                 1.3256,                  2.084,                 1.4594,                0.37817,                0.47245,                0.44465,                0.27992,                 1.3264,                 2.1301,                 1.6401,              0.0079595,              0.0079595,              0.0079595
                      9,                 1.3264,                 2.0228,                 1.4694,                0.32537,                0.45339,                0.39779,                0.24037,                 1.3635,                 2.1688,                 1.6327,              0.0072973,              0.0072973,              0.0072973
                     10,                 1.2606,                 1.8814,                 1.4198,                 0.4897,                0.54072,                0.52322,                0.33567,                 1.2586,                 1.8238,                 1.5554,              0.0065796,              0.0065796,              0.0065796
                     11,                  1.183,                 1.6778,                 1.5285,                0.42583,                0.55191,                0.53825,                0.35758,                 1.1924,                  1.793,                  1.465,              0.0058244,              0.0058244,              0.0058244
                     12,                 1.1818,                 1.5702,                 1.5095,                0.49793,                0.64238,                 0.6081,                0.41702,                  1.177,                 1.6691,                 1.4434,                0.00505,                0.00505,                0.00505
                     13,                 1.1367,                 1.4746,                 1.4529,                0.55851,                0.60895,                0.60516,                0.39677,                 1.2846,                 1.6956,                 1.5267,              0.0042756,              0.0042756,              0.0042756
                     14,                 1.0592,                 1.3639,                 1.3936,                0.60844,                0.61896,                0.63584,                0.43629,                 1.1068,                 1.5238,                 1.4035,              0.0035204,              0.0035204,              0.0035204
                     15,                 1.0636,                  1.282,                 1.3814,                0.55174,                0.66026,                0.63867,                0.44359,                 1.1224,                 1.5805,                 1.3953,              0.0028027,              0.0028027,              0.0028027
                     16,                  1.019,                 1.2373,                 1.3571,                0.66549,                0.67213,                0.69996,                0.49693,                 1.0574,                 1.3873,                 1.3473,              0.0021405,              0.0021405,              0.0021405
                     17,                0.93804,                 1.1309,                 1.2854,                0.66638,                0.69151,                0.72041,                0.52391,                 1.0098,                 1.3553,                 1.3106,              0.0015498,              0.0015498,              0.0015498
                     18,                0.91936,                 1.0633,                 1.2927,                0.67105,                0.69841,                0.73246,                0.55109,                0.97918,                 1.3152,                 1.2637,              0.0010454,              0.0010454,              0.0010454
                     19,                0.89329,                 1.0187,                 1.2592,                0.72006,                0.71784,                0.75657,                 0.5778,                0.92994,                 1.2552,                 1.2347,             0.00063952,             0.00063952,             0.00063952
                     20,                0.84148,                0.97636,                 1.2228,                 0.7137,                0.73221,                0.76648,                0.58676,                0.94362,                 1.2459,                 1.2376,             0.00034227,             0.00034227,             0.00034227
